sample	condition
SRR19090153	FXS
SRR19090154	FXS
SRR19090155	FXS
SRR19090156	FXS
SRR19090157	FXS
SRR19090158	FXS
SRR19090159	FXS
SRR19090160	Control
SRR19090161	Control
SRR19090162	Control
SRR19090163	Control
SRR19090164	Control
SRR19090165	Control
SRR19090166	Control
SRR19090167	FXS
SRR19090168	FXS
SRR19090169	FXS
SRR22315460	Control
SRR22315461	Control
SRR22315462	Control
SRR22315463	Control
SRR22315464	Control
SRR22315465	Control
SRR22315466	FXS
SRR22315467	FXS
SRR22315468	FXS
SRR22315469	FXS
SRR22315470	FXS
SRR22315471	FXS
SRR22315472	FXS
SRR22315473	FXS
SRR22315474	FXS
SRR22315475	FXS
SRR22315476	FXS
SRR22315477	FXS
SRR22315478	FXS
SRR22315479	FXS
SRR22315480	FXS
SRR22315481	FXS
SRR22315482	FXS
SRR22315483	FXS
SRR22315484	FXS
