transcript_id	gene_id
ENST00000000233	ENSG00000004059
ENST00000000412	ENSG00000003056
ENST00000000442	ENSG00000173153
ENST00000001008	ENSG00000004478
ENST00000001146	ENSG00000003137
ENST00000002125	ENSG00000003509
ENST00000002165	ENSG00000001036
ENST00000002501	ENSG00000003249
ENST00000002596	ENSG00000002587
ENST00000002829	ENSG00000001617
ENST00000003084	ENSG00000001626
ENST00000003100	ENSG00000001630
ENST00000003302	ENSG00000048028
ENST00000003583	ENSG00000001460
ENST00000003912	ENSG00000001461
ENST00000004103	ENSG00000002933
ENST00000004531	ENSG00000003989
ENST00000004982	ENSG00000004776
ENST00000005082	ENSG00000005801
ENST00000005178	ENSG00000004799
ENST00000005180	ENSG00000006606
ENST00000005226	ENSG00000006611
ENST00000005257	ENSG00000006451
ENST00000005259	ENSG00000075790
ENST00000005260	ENSG00000006453
ENST00000005284	ENSG00000006116
ENST00000005286	ENSG00000006118
ENST00000005340	ENSG00000004975
ENST00000005374	ENSG00000006625
ENST00000005386	ENSG00000005175
ENST00000005558	ENSG00000006652
ENST00000005756	ENSG00000007001
ENST00000005995	ENSG00000007038
ENST00000006015	ENSG00000005073
ENST00000006053	ENSG00000006210
ENST00000006251	ENSG00000186654
ENST00000006275	ENSG00000007255
ENST00000006658	ENSG00000006282
ENST00000006724	ENSG00000007306
ENST00000006750	ENSG00000007312
ENST00000006777	ENSG00000005486
ENST00000007264	ENSG00000007376
ENST00000007390	ENSG00000007520
ENST00000007414	ENSG00000006025
ENST00000007510	ENSG00000004777
ENST00000007516	ENSG00000004779
ENST00000007699	ENSG00000006047
ENST00000007708	ENSG00000005882
ENST00000007722	ENSG00000005884
ENST00000007735	ENSG00000006059
ENST00000007969	ENSG00000010626
ENST00000008180	ENSG00000008517
ENST00000008391	ENSG00000008197
ENST00000008440	ENSG00000010072
ENST00000008527	ENSG00000008405
ENST00000008876	ENSG00000008735
ENST00000008938	ENSG00000008438
ENST00000009041	ENSG00000010270
ENST00000009105	ENSG00000008118
ENST00000009180	ENSG00000010278
ENST00000009530	ENSG00000019582
ENST00000009589	ENSG00000008988
ENST00000010132	ENSG00000010219
ENST00000010299	ENSG00000009780
ENST00000010404	ENSG00000008394
ENST00000011292	ENSG00000091704
ENST00000011473	ENSG00000008282
ENST00000011619	ENSG00000010017
ENST00000011653	ENSG00000010610
ENST00000011684	ENSG00000008323
ENST00000011691	ENSG00000008324
ENST00000011700	ENSG00000048707
ENST00000011898	ENSG00000011105
ENST00000011989	ENSG00000186115
ENST00000012049	ENSG00000011478
ENST00000012134	ENSG00000010818
ENST00000012443	ENSG00000011485
ENST00000013034	ENSG00000239672
ENST00000013070	ENSG00000012963
ENST00000013125	ENSG00000012983
ENST00000013222	ENSG00000241644
ENST00000013807	ENSG00000012061
ENST00000013894	ENSG00000011198
ENST00000014914	ENSG00000013588
ENST00000014930	ENSG00000013583
ENST00000014935	ENSG00000013563
ENST00000016171	ENSG00000014919
ENST00000016913	ENSG00000071203
ENST00000016946	ENSG00000015568
ENST00000017003	ENSG00000015532
ENST00000019019	ENSG00000068438
ENST00000019103	ENSG00000080293
ENST00000019317	ENSG00000017797
ENST00000020673	ENSG00000059915
ENST00000020926	ENSG00000019505
ENST00000020945	ENSG00000019549
ENST00000022615	ENSG00000078668
ENST00000023064	ENSG00000021488
ENST00000023897	ENSG00000022355
ENST00000023939	ENSG00000022277
ENST00000024061	ENSG00000022567
ENST00000025008	ENSG00000023287
ENST00000025301	ENSG00000023516
ENST00000025399	ENSG00000023734
ENST00000026218	ENSG00000007541
ENST00000027335	ENSG00000079112
ENST00000028008	ENSG00000026297
ENST00000029410	ENSG00000027847
ENST00000031146	ENSG00000029364
ENST00000033079	ENSG00000031003
ENST00000034275	ENSG00000031823
ENST00000035307	ENSG00000033100
ENST00000037243	ENSG00000034713
ENST00000037502	ENSG00000034971
ENST00000037869	ENSG00000035141
ENST00000038176	ENSG00000035681
ENST00000039007	ENSG00000036473
ENST00000039989	ENSG00000052841
ENST00000040584	ENSG00000037965
ENST00000040663	ENSG00000037757
ENST00000040738	ENSG00000038219
ENST00000040877	ENSG00000059588
ENST00000042381	ENSG00000039523
ENST00000042931	ENSG00000039987
ENST00000043402	ENSG00000040608
ENST00000044462	ENSG00000041357
ENST00000045083	ENSG00000042062
ENST00000045347	ENSG00000042317
ENST00000046087	ENSG00000042813
ENST00000046640	ENSG00000040531
ENST00000046794	ENSG00000043462
ENST00000052569	ENSG00000047932
ENST00000052754	ENSG00000011465
ENST00000053243	ENSG00000048462
ENST00000053468	ENSG00000048544
ENST00000053867	ENSG00000030582
ENST00000054650	ENSG00000041988
ENST00000054666	ENSG00000049245
ENST00000054668	ENSG00000049247
ENST00000054950	ENSG00000049449
ENST00000055077	ENSG00000049541
ENST00000055335	ENSG00000049769
ENST00000055682	ENSG00000050030
ENST00000056217	ENSG00000050327
ENST00000056233	ENSG00000050344
ENST00000057513	ENSG00000050730
ENST00000060969	ENSG00000052723
ENST00000061240	ENSG00000038295
ENST00000064571	ENSG00000054803
ENST00000064724	ENSG00000013297
ENST00000064778	ENSG00000054965
ENST00000064780	ENSG00000054967
ENST00000066544	ENSG00000004897
ENST00000070846	ENSG00000057294
ENST00000072516	ENSG00000196083
ENST00000072644	ENSG00000058799
ENST00000072869	ENSG00000133597
ENST00000075120	ENSG00000059804
ENST00000075322	ENSG00000136960
ENST00000075430	ENSG00000060069
ENST00000075503	ENSG00000060140
ENST00000078429	ENSG00000088256
ENST00000078445	ENSG00000060566
ENST00000078527	ENSG00000060642
ENST00000080059	ENSG00000061273
ENST00000081029	ENSG00000061794
ENST00000082468	ENSG00000026950
ENST00000083182	ENSG00000062725
ENST00000084795	ENSG00000063177
ENST00000084798	ENSG00000063180
ENST00000085068	ENSG00000063241
ENST00000085079	ENSG00000063245
ENST00000085219	ENSG00000012124
ENST00000086933	ENSG00000063515
ENST00000155093	ENSG00000067646
ENST00000155674	ENSG00000069998
ENST00000155840	ENSG00000053918
ENST00000155926	ENSG00000071575
ENST00000156084	ENSG00000068308
ENST00000156109	ENSG00000068394
ENST00000156471	ENSG00000021776
ENST00000156476	ENSG00000167759
ENST00000156499	ENSG00000129437
ENST00000156626	ENSG00000070526
ENST00000156825	ENSG00000071655
ENST00000157600	ENSG00000071282
ENST00000157812	ENSG00000013275
ENST00000158009	ENSG00000073598
ENST00000158166	ENSG00000004660
ENST00000158526	ENSG00000071859
ENST00000158762	ENSG00000072818
ENST00000158771	ENSG00000072849
ENST00000159060	ENSG00000074771
ENST00000159087	ENSG00000074855
ENST00000159111	ENSG00000127663
ENST00000159647	ENSG00000073150
ENST00000160262	ENSG00000076662
ENST00000160298	ENSG00000076826
ENST00000160373	ENSG00000077063
ENST00000160382	ENSG00000077080
ENST00000160713	ENSG00000147724
ENST00000160740	ENSG00000079432
ENST00000160827	ENSG00000079616
ENST00000161006	ENSG00000005001
ENST00000161559	ENSG00000079385
ENST00000161863	ENSG00000047188
ENST00000162044	ENSG00000064545
ENST00000162330	ENSG00000050820
ENST00000162391	ENSG00000065970
ENST00000162749	ENSG00000067182
ENST00000163416	ENSG00000066455
ENST00000163678	ENSG00000067365
ENST00000164024	ENSG00000008300
ENST00000164133	ENSG00000068971
ENST00000164139	ENSG00000068976
ENST00000164227	ENSG00000069399
ENST00000164247	ENSG00000069424
ENST00000164305	ENSG00000069943
ENST00000164640	ENSG00000067840
ENST00000165086	ENSG00000185864
ENST00000165524	ENSG00000071677
ENST00000165698	ENSG00000068615
ENST00000166139	ENSG00000070404
ENST00000166244	ENSG00000070886
ENST00000166345	ENSG00000071539
ENST00000166534	ENSG00000072682
ENST00000167106	ENSG00000071246
ENST00000167218	ENSG00000071994
ENST00000167462	ENSG00000073350
ENST00000167586	ENSG00000186847
ENST00000167588	ENSG00000171431
ENST00000167825	ENSG00000074964
ENST00000168148	ENSG00000072080
ENST00000168216	ENSG00000072506
ENST00000168712	ENSG00000075388
ENST00000168869	ENSG00000076344
ENST00000168977	ENSG00000077009
ENST00000169293	ENSG00000127241
ENST00000169298	ENSG00000073849
ENST00000169551	ENSG00000075336
ENST00000170150	ENSG00000078898
ENST00000170168	ENSG00000079313
ENST00000170447	ENSG00000075975
ENST00000170564	ENSG00000076650
ENST00000170630	ENSG00000077238
ENST00000171111	ENSG00000079999
ENST00000171757	ENSG00000078589
ENST00000171887	ENSG00000079308
ENST00000172229	ENSG00000064300
ENST00000173229	ENSG00000065320
ENST00000173527	ENSG00000066583
ENST00000173785	ENSG00000067082
ENST00000173898	ENSG00000067445
ENST00000174618	ENSG00000070444
ENST00000175091	ENSG00000068697
ENST00000175238	ENSG00000069206
ENST00000175506	ENSG00000070669
ENST00000175756	ENSG00000072135
ENST00000176183	ENSG00000069696
ENST00000176195	ENSG00000070031
ENST00000176643	ENSG00000072210
ENST00000176763	ENSG00000072786
ENST00000177648	ENSG00000073331
ENST00000177694	ENSG00000073861
ENST00000177742	ENSG00000074071
ENST00000178638	ENSG00000074410
ENST00000178640	ENSG00000137764
ENST00000179259	ENSG00000078237
ENST00000180166	ENSG00000078579
ENST00000180173	ENSG00000003987
ENST00000181383	ENSG00000080618
ENST00000181796	ENSG00000065809
ENST00000181839	ENSG00000065883
ENST00000182290	ENSG00000064201
ENST00000182377	ENSG00000064763
ENST00000182527	ENSG00000065308
ENST00000183605	ENSG00000066405
ENST00000184183	ENSG00000065371
ENST00000184266	ENSG00000065518
ENST00000184956	ENSG00000068097
ENST00000185150	ENSG00000068912
ENST00000185206	ENSG00000112782
ENST00000186436	ENSG00000075568
ENST00000187397	ENSG00000172995
ENST00000187608	ENSG00000007129
ENST00000187762	ENSG00000072954
ENST00000187830	ENSG00000073008
ENST00000187879	ENSG00000159885
ENST00000187910	ENSG00000170848
ENST00000188312	ENSG00000075089
ENST00000188376	ENSG00000075415
ENST00000188403	ENSG00000012504
ENST00000188790	ENSG00000078098
ENST00000189444	ENSG00000077150
ENST00000189978	ENSG00000030304
ENST00000190165	ENSG00000064218
ENST00000190611	ENSG00000079156
ENST00000190983	ENSG00000064205
ENST00000191018	ENSG00000064601
ENST00000191063	ENSG00000134461
ENST00000192314	ENSG00000154252
ENST00000192788	ENSG00000065060
ENST00000193322	ENSG00000081087
ENST00000193391	ENSG00000081148
ENST00000193403	ENSG00000072110
ENST00000194097	ENSG00000249437
ENST00000194118	ENSG00000081791
ENST00000194130	ENSG00000081800
ENST00000194152	ENSG00000081818
ENST00000194155	ENSG00000112852
ENST00000194214	ENSG00000081870
ENST00000194530	ENSG00000082146
ENST00000194672	ENSG00000082269
ENST00000194900	ENSG00000082458
ENST00000195173	ENSG00000082684
ENST00000195649	ENSG00000065609
ENST00000196061	ENSG00000083444
ENST00000196169	ENSG00000083544
ENST00000196371	ENSG00000083720
ENST00000196482	ENSG00000083812
ENST00000196489	ENSG00000083817
ENST00000196551	ENSG00000083845
ENST00000197268	ENSG00000084444
ENST00000198536	ENSG00000085514
ENST00000198767	ENSG00000085721
ENST00000198801	ENSG00000166391
ENST00000198939	ENSG00000085872
ENST00000199280	ENSG00000167580
ENST00000199320	ENSG00000086189
ENST00000199389	ENSG00000086232
ENST00000199447	ENSG00000086288
ENST00000199448	ENSG00000086289
ENST00000199706	ENSG00000086504
ENST00000199708	ENSG00000086506
ENST00000199764	ENSG00000086548
ENST00000199814	ENSG00000086589
ENST00000199936	ENSG00000086696
ENST00000199940	ENSG00000078018
ENST00000200135	ENSG00000086827
ENST00000200181	ENSG00000132470
ENST00000200453	ENSG00000087074
ENST00000200457	ENSG00000087077
ENST00000200557	ENSG00000073670
ENST00000200639	ENSG00000005893
ENST00000200652	ENSG00000197208
ENST00000200676	ENSG00000087237
ENST00000200691	ENSG00000087250
ENST00000201015	ENSG00000087494
ENST00000201031	ENSG00000087510
ENST00000201586	ENSG00000088002
ENST00000201647	ENSG00000131037
ENST00000201943	ENSG00000182389
ENST00000201961	ENSG00000197183
ENST00000201963	ENSG00000088305
ENST00000201979	ENSG00000088320
ENST00000202017	ENSG00000088356
ENST00000202028	ENSG00000088367
ENST00000202556	ENSG00000088808
ENST00000202625	ENSG00000166948
ENST00000202677	ENSG00000188559
ENST00000202773	ENSG00000089009
ENST00000202816	ENSG00000089048
ENST00000202831	ENSG00000089060
ENST00000202834	ENSG00000089063
ENST00000202917	ENSG00000089127
ENST00000202967	ENSG00000089163
ENST00000203001	ENSG00000089195
ENST00000203166	ENSG00000249115
ENST00000203407	ENSG00000010256
ENST00000203556	ENSG00000089639
ENST00000203629	ENSG00000089692
ENST00000203630	ENSG00000089693
ENST00000203664	ENSG00000089723
ENST00000204005	ENSG00000090006
ENST00000204517	ENSG00000090447
ENST00000204549	ENSG00000090470
ENST00000204566	ENSG00000090487
ENST00000204604	ENSG00000090539
ENST00000204637	ENSG00000090554
ENST00000204679	ENSG00000090581
ENST00000204726	ENSG00000090615
ENST00000204801	ENSG00000090659
ENST00000204961	ENSG00000090776
ENST00000205061	ENSG00000090863
ENST00000205135	ENSG00000090924
ENST00000205143	ENSG00000090932
ENST00000205194	ENSG00000090971
